2024-10-29 20:40:35 INFO  [main] e.e.services.PeliculasService - peliculaPruebaCsv
2024-10-29 20:40:35 WARN  [main] o.m.jdbc.message.server.ErrorPacket - Error: 1045-28000: Access denied for user 'sakila'@'localhost' (using password: YES)
2024-10-29 20:41:46 INFO  [main] e.e.services.PeliculasService - peliculaPruebaCsv
2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=1, nombre=ACADEMY DINOSAUR, longitud=86)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=2, nombre=ACE GOLDFINGER, longitud=48)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=3, nombre=ADAPTATION HOLES, longitud=50)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=7, nombre=AIRPLANE SIERRA, longitud=62)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=8, nombre=AIRPORT POLLOCK, longitud=54)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=10, nombre=ALADDIN CALENDAR, longitud=63)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=14, nombre=ALICE FANTASIA, longitud=94)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=15, nombre=ALIEN CENTER, longitud=46)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=17, nombre=ALONE TRIP, longitud=82)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=18, nombre=ALTER VICTORY, longitud=57)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=20, nombre=AMELIE HELLFIGHTERS, longitud=79)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=22, nombre=AMISTAD MIDSUMMER, longitud=85)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=23, nombre=ANACONDA CONFESSIONS, longitud=92)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=25, nombre=ANGELS LIFE, longitud=74)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=26, nombre=ANNIE IDENTITY, longitud=86)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=28, nombre=ANTHEM LUKE, longitud=91)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=30, nombre=ANYTHING SAVANNAH, longitud=82)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=31, nombre=APACHE DIVINE, longitud=92)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=34, nombre=ARABIA DOGMA, longitud=62)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=38, nombre=ARK RIDGEMONT, longitud=68)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=39, nombre=ARMAGEDDON LOST, longitud=99)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=45, nombre=ATTRACTION NEWTON, longitud=83)

2024-10-29 20:41:46 DEBUG [main] e.e.services.PeliculasService - Pelicula(id=51, nombre=BALLOON HOMEWARD, longitud=75)

